benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
mul_i10_o10,10,10,128,64,1/16,1,10.266,299,8.401,241,8.5545,241,58
mul_i10_o10,10,10,128,128,1/8,1,10.266,299,9.5877,279,9.2691,279,20
mul_i10_o10,10,10,128,256,1/4,1,10.266,299,9.5413,296,9.6931,296,3
mul_i10_o10,10,10,128,512,1/2,1,10.266,299,9.679,299,9.8274,299,0
mul_i10_o10,10,10,128,64,1/16,2,9.5528,299,8.3071,241,8.1267,241,58
mul_i10_o10,10,10,128,128,1/8,2,9.5528,299,9.4032,279,9.13,279,20
mul_i10_o10,10,10,128,256,1/4,2,9.5528,299,9.5742,296,9.4517,296,3
mul_i10_o10,10,10,128,512,1/2,2,9.5528,299,9.9466,299,10.0804,299,0
mul_i10_o10,10,10,128,64,1/16,3,10.0216,299,8.5359,241,8.523,241,58
mul_i10_o10,10,10,128,128,1/8,3,10.0216,299,9.456,279,9.4306,279,20
mul_i10_o10,10,10,128,256,1/4,3,10.0216,299,9.984,296,9.9304,296,3
mul_i10_o10,10,10,128,512,1/2,3,10.0216,299,10.2692,299,10.1255,299,0
