benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
madd_i6_o4,6,4,128,1,1/16,1,3.7928,42,1.7548,8,1.3705,8,34
madd_i6_o4,6,4,128,2,1/8,1,3.7928,42,2.4615,30,1.7933,30,12
madd_i6_o4,6,4,128,4,1/4,1,3.7928,42,2.633,42,2.4687,42,0
madd_i6_o4,6,4,128,8,1/2,1,3.7928,42,1.9641,42,2.7093,42,0
madd_i6_o4,6,4,128,1,1/16,2,1.8821,42,2.4248,8,1.2877,8,34
madd_i6_o4,6,4,128,2,1/8,2,1.8821,42,2.4845,30,2.1569,30,12
madd_i6_o4,6,4,128,4,1/4,2,1.8821,42,3.5752,42,2.278,42,0
madd_i6_o4,6,4,128,8,1/2,2,1.8821,42,3.822,42,1.8076,42,0
madd_i6_o4,6,4,128,1,1/16,3,3.311,42,1.3686,8,1.836,8,34
madd_i6_o4,6,4,128,2,1/8,3,3.311,42,1.765,30,2.1027,30,12
madd_i6_o4,6,4,128,4,1/4,3,3.311,42,3.0046,42,2.1364,42,0
madd_i6_o4,6,4,128,8,1/2,3,3.311,42,3.0648,42,1.9102,42,0
