benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i12_o7,12,7,128,8,1/16,1,34.9869,82,16.8782,50,15.1332,50,32
adder_i12_o7,12,7,128,16,1/8,1,34.9869,82,17.739,65,20.3315,65,17
adder_i12_o7,12,7,128,32,1/4,1,34.9869,82,20.5739,80,23.415,80,2
adder_i12_o7,12,7,128,64,1/2,1,34.9869,82,26.3256,82,23.4899,82,0
adder_i12_o7,12,7,128,8,1/16,2,22.2675,82,12.7337,50,13.8173,50,32
adder_i12_o7,12,7,128,16,1/8,2,22.2675,82,18.3961,65,19.9033,65,17
adder_i12_o7,12,7,128,32,1/4,2,22.2675,82,23.3047,80,24.3093,80,2
adder_i12_o7,12,7,128,64,1/2,2,22.2675,82,18.1675,82,25.2273,82,0
adder_i12_o7,12,7,128,8,1/16,3,19.6728,82,13.1086,50,19.2483,50,32
adder_i12_o7,12,7,128,16,1/8,3,19.6728,82,21.5814,65,20.7102,65,17
adder_i12_o7,12,7,128,32,1/4,3,19.6728,82,28.9061,80,25.1587,80,2
adder_i12_o7,12,7,128,64,1/2,3,19.6728,82,18.8683,82,13.6347,82,0
