benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i8_o5,8,5,128,2,1/16,1,34.8074,52,16.8676,20,15.1201,20,32
adder_i8_o5,8,5,128,4,1/8,1,34.8074,52,16.5803,35,21.4966,35,17
adder_i8_o5,8,5,128,8,1/4,1,34.8074,52,19.4459,50,22.425,50,2
adder_i8_o5,8,5,128,16,1/2,1,34.8074,52,28.4122,52,22.2266,52,0
adder_i8_o5,8,5,128,2,1/16,2,21.1839,52,8.8265,20,6.9614,20,32
adder_i8_o5,8,5,128,4,1/8,2,21.1839,52,14.3473,35,17.7911,35,17
adder_i8_o5,8,5,128,8,1/4,2,21.1839,52,19.6616,50,22.8402,50,2
adder_i8_o5,8,5,128,16,1/2,2,21.1839,52,23.8535,52,15.0155,52,0
adder_i8_o5,8,5,128,2,1/16,3,28.932,52,15.5166,20,5.1907,20,32
adder_i8_o5,8,5,128,4,1/8,3,28.932,52,13.0902,35,18.3969,35,17
adder_i8_o5,8,5,128,8,1/4,3,28.932,52,21.5089,50,19.7203,50,2
adder_i8_o5,8,5,128,16,1/2,3,28.932,52,29.8028,52,25.2465,52,0
