benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
mul_i12_o12,12,12,128,256,1/16,1,20.3694,445,18.1234,387,18.8387,387,58
mul_i12_o12,12,12,128,512,1/8,1,20.3694,445,19.7795,425,19.6846,425,20
mul_i12_o12,12,12,128,1024,1/4,1,20.3694,445,20.1049,442,20.4095,442,3
mul_i12_o12,12,12,128,2048,1/2,1,20.3694,445,20.6004,445,20.0398,445,0
mul_i12_o12,12,12,128,256,1/16,2,19.9707,445,17.9648,387,17.899,387,58
mul_i12_o12,12,12,128,512,1/8,2,19.9707,445,19.4053,425,19.3935,425,20
mul_i12_o12,12,12,128,1024,1/4,2,19.9707,445,19.8757,442,20.0246,442,3
mul_i12_o12,12,12,128,2048,1/2,2,19.9707,445,19.9338,445,19.926,445,0
mul_i12_o12,12,12,128,256,1/16,3,20.025,445,18.3983,387,17.9596,387,58
mul_i12_o12,12,12,128,512,1/8,3,20.025,445,19.4131,425,19.5429,425,20
mul_i12_o12,12,12,128,1024,1/4,3,20.025,445,19.9146,442,19.8751,442,3
mul_i12_o12,12,12,128,2048,1/2,3,20.025,445,19.9028,445,19.8106,445,0
