benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
mul_i14_o14,14,14,128,1024,1/16,1,56.7947,670,56.07,599,53.7206,599,71
mul_i14_o14,14,14,128,2048,1/8,1,56.7947,670,56.4301,643,54.9255,643,27
mul_i14_o14,14,14,128,4096,1/4,1,56.7947,670,56.8486,666,59.1516,666,4
mul_i14_o14,14,14,128,8192,1/2,1,56.7947,670,57.9516,670,56.5908,670,0
mul_i14_o14,14,14,128,1024,1/16,2,58.3258,670,51.2521,599,53.3193,599,71
mul_i14_o14,14,14,128,2048,1/8,2,58.3258,670,51.9169,643,52.3582,643,27
mul_i14_o14,14,14,128,4096,1/4,2,58.3258,670,54.595,666,53.9877,666,4
mul_i14_o14,14,14,128,8192,1/2,2,58.3258,670,58.2445,670,56.6203,670,0
mul_i14_o14,14,14,128,1024,1/16,3,57.1664,670,55.179,599,52.5766,599,71
mul_i14_o14,14,14,128,2048,1/8,3,57.1664,670,58.0167,643,59.6328,643,27
mul_i14_o14,14,14,128,4096,1/4,3,57.1664,670,60.9041,666,59.3248,666,4
mul_i14_o14,14,14,128,8192,1/2,3,57.1664,670,57.0783,670,57.6824,670,0
