benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
abs_diff_i20_o10,20,10,128,64,1/16,1,13.5392,340,11.9013,273,11.7515,273,67
abs_diff_i20_o10,20,10,128,128,1/8,1,13.5392,340,12.0786,304,11.907,304,36
abs_diff_i20_o10,20,10,128,256,1/4,1,13.5392,340,12.8389,331,12.727,331,9
abs_diff_i20_o10,20,10,128,512,1/2,1,13.5392,340,14.4441,340,13.0031,340,0
abs_diff_i20_o10,20,10,128,64,1/16,2,14.5019,340,11.862,273,11.6527,273,67
abs_diff_i20_o10,20,10,128,128,1/8,2,14.5019,340,12.8278,304,11.924,304,36
abs_diff_i20_o10,20,10,128,256,1/4,2,14.5019,340,12.7929,331,12.9069,331,9
abs_diff_i20_o10,20,10,128,512,1/2,2,14.5019,340,12.936,340,13.1076,340,0
abs_diff_i20_o10,20,10,128,64,1/16,3,13.1249,340,11.1181,273,11.5082,273,67
abs_diff_i20_o10,20,10,128,128,1/8,3,13.1249,340,11.7433,304,12.3246,304,36
abs_diff_i20_o10,20,10,128,256,1/4,3,13.1249,340,14.5629,331,12.9106,331,9
abs_diff_i20_o10,20,10,128,512,1/2,3,13.1249,340,13.651,340,12.5127,340,0
