benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
mul_i8_o8,8,8,128,16,1/16,1,6.8009,174,5.949,118,5.2932,118,56
mul_i8_o8,8,8,128,32,1/8,1,6.8009,174,6.8354,150,6.1735,150,24
mul_i8_o8,8,8,128,64,1/4,1,6.8009,174,7.6551,171,7.3214,171,3
mul_i8_o8,8,8,128,128,1/2,1,6.8009,174,7.9093,174,6.9368,174,0
mul_i8_o8,8,8,128,16,1/16,2,8.7275,174,5.6197,118,5.7351,118,56
mul_i8_o8,8,8,128,32,1/8,2,8.7275,174,6.1259,150,6.3885,150,24
mul_i8_o8,8,8,128,64,1/4,2,8.7275,174,6.4357,171,6.4655,171,3
mul_i8_o8,8,8,128,128,1/2,2,8.7275,174,6.5071,174,6.4512,174,0
mul_i8_o8,8,8,128,16,1/16,3,7.1186,174,5.0472,118,4.9631,118,56
mul_i8_o8,8,8,128,32,1/8,3,7.1186,174,5.9036,150,7.2402,150,24
mul_i8_o8,8,8,128,64,1/4,3,7.1186,174,7.3519,171,7.4086,171,3
mul_i8_o8,8,8,128,128,1/2,3,7.1186,174,7.437,174,7.3475,174,0
