benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
madd_i15_o10,15,10,128,64,1/16,1,13.9277,375,17.8865,317,12.2203,317,58
madd_i15_o10,15,10,128,128,1/8,1,13.9277,375,17.639,355,13.2337,355,20
madd_i15_o10,15,10,128,256,1/4,1,13.9277,375,19.5721,372,13.9236,372,3
madd_i15_o10,15,10,128,512,1/2,1,13.9277,375,18.8287,375,14.9427,375,0
madd_i15_o10,15,10,128,64,1/16,2,17.1652,375,12.9111,317,18.9894,317,58
madd_i15_o10,15,10,128,128,1/8,2,17.1652,375,13.427,355,13.7903,355,20
madd_i15_o10,15,10,128,256,1/4,2,17.1652,375,15.2109,372,14.4763,372,3
madd_i15_o10,15,10,128,512,1/2,2,17.1652,375,17.6331,375,14.2241,375,0
madd_i15_o10,15,10,128,64,1/16,3,17.8507,375,13.5575,317,18.896,317,58
madd_i15_o10,15,10,128,128,1/8,3,17.8507,375,13.6063,355,18.9571,355,20
madd_i15_o10,15,10,128,256,1/4,3,17.8507,375,14.0288,372,19.1781,372,3
madd_i15_o10,15,10,128,512,1/2,3,17.8507,375,13.8841,375,18.7885,375,0
