benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
madd_i18_o12,18,12,128,256,1/16,1,34.1912,574,30.9163,493,30.4305,493,81
madd_i18_o12,18,12,128,512,1/8,1,34.1912,574,32.8304,539,31.7644,539,35
madd_i18_o12,18,12,128,1024,1/4,1,34.1912,574,36.0074,570,32.4631,570,4
madd_i18_o12,18,12,128,2048,1/2,1,34.1912,574,37.0905,574,33.7516,574,0
madd_i18_o12,18,12,128,256,1/16,2,35.1175,574,32.1723,493,30.1608,493,81
madd_i18_o12,18,12,128,512,1/8,2,35.1175,574,32.8162,539,31.718,539,35
madd_i18_o12,18,12,128,1024,1/4,2,35.1175,574,34.5348,570,32.2135,570,4
madd_i18_o12,18,12,128,2048,1/2,2,35.1175,574,32.8847,574,34.8467,574,0
madd_i18_o12,18,12,128,256,1/16,3,33.238,574,33.231,493,30.3694,493,81
madd_i18_o12,18,12,128,512,1/8,3,33.238,574,31.3758,539,31.3187,539,35
madd_i18_o12,18,12,128,1024,1/4,3,33.238,574,33.3054,570,33.0357,570,4
madd_i18_o12,18,12,128,2048,1/2,3,33.238,574,34.4604,574,32.6756,574,0
