benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i10_o6,10,6,128,4,1/16,1,34.9098,67,16.8621,35,15.1081,35,32
adder_i10_o6,10,6,128,8,1/8,1,34.9098,67,17.3268,50,20.6869,50,17
adder_i10_o6,10,6,128,16,1/4,1,34.9098,67,20.167,65,22.8891,65,2
adder_i10_o6,10,6,128,32,1/2,1,34.9098,67,27.3173,67,23.0747,67,0
adder_i10_o6,10,6,128,4,1/16,2,22.1825,67,11.6204,35,11.8141,35,32
adder_i10_o6,10,6,128,8,1/8,2,22.1825,67,16.2856,50,16.7805,50,17
adder_i10_o6,10,6,128,16,1/4,2,22.1825,67,29.6746,65,26.1389,65,2
adder_i10_o6,10,6,128,32,1/2,2,22.1825,67,17.4905,67,26.6085,67,0
adder_i10_o6,10,6,128,4,1/16,3,19.2267,67,11.3232,35,12.0401,35,32
adder_i10_o6,10,6,128,8,1/8,3,19.2267,67,14.6927,50,20.7631,50,17
adder_i10_o6,10,6,128,16,1/4,3,19.2267,67,20.1849,65,24.9115,65,2
adder_i10_o6,10,6,128,32,1/2,3,19.2267,67,25.2396,67,18.5743,67,0
