benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
abs_diff_i12_o6,12,6,128,4,1/16,1,4.769,142,3.513,99,3.6943,99,43
abs_diff_i12_o6,12,6,128,8,1/8,1,4.769,142,4.1245,116,3.8718,116,26
abs_diff_i12_o6,12,6,128,16,1/4,1,4.769,142,4.8644,133,4.0508,133,9
abs_diff_i12_o6,12,6,128,32,1/2,1,4.769,142,4.5749,142,4.4926,142,0
abs_diff_i12_o6,12,6,128,4,1/16,2,4.2137,142,3.6731,99,3.6999,99,43
abs_diff_i12_o6,12,6,128,8,1/8,2,4.2137,142,4.1154,116,4.2347,116,26
abs_diff_i12_o6,12,6,128,16,1/4,2,4.2137,142,4.2855,133,4.4452,133,9
abs_diff_i12_o6,12,6,128,32,1/2,2,4.2137,142,4.4401,142,4.0159,142,0
abs_diff_i12_o6,12,6,128,4,1/16,3,4.1684,142,3.3424,99,3.6235,99,43
abs_diff_i12_o6,12,6,128,8,1/8,3,4.1684,142,3.6797,116,3.8568,116,26
abs_diff_i12_o6,12,6,128,16,1/4,3,4.1684,142,3.949,133,4.4103,133,9
abs_diff_i12_o6,12,6,128,32,1/2,3,4.1684,142,3.9392,142,4.6323,142,0
