benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
abs_diff_i10_o5,10,5,128,2,1/16,1,3.9646,126,3.0308,72,3.1209,72,54
abs_diff_i10_o5,10,5,128,4,1/8,1,3.9646,126,3.5143,89,3.5354,89,37
abs_diff_i10_o5,10,5,128,8,1/4,1,3.9646,126,3.7615,106,3.7024,106,20
abs_diff_i10_o5,10,5,128,16,1/2,1,3.9646,126,4.0234,126,4.2275,126,0
abs_diff_i10_o5,10,5,128,2,1/16,2,3.989,126,2.8358,72,2.888,72,54
abs_diff_i10_o5,10,5,128,4,1/8,2,3.989,126,3.2805,89,3.2261,89,37
abs_diff_i10_o5,10,5,128,8,1/4,2,3.989,126,3.4257,106,3.5656,106,20
abs_diff_i10_o5,10,5,128,16,1/2,2,3.989,126,3.8697,126,3.9879,126,0
abs_diff_i10_o5,10,5,128,2,1/16,3,3.9353,126,2.7377,72,2.8684,72,54
abs_diff_i10_o5,10,5,128,4,1/8,3,3.9353,126,3.1719,89,3.1717,89,37
abs_diff_i10_o5,10,5,128,8,1/4,3,3.9353,126,3.535,106,3.5521,106,20
abs_diff_i10_o5,10,5,128,16,1/2,3,3.9353,126,3.9532,126,3.9905,126,0
