benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i28_o15,28,15,128,2048,1/16,1,13.9072,216,12.6687,178,13.8121,178,38
adder_i28_o15,28,15,128,4096,1/8,1,13.9072,216,12.9826,199,13.1896,199,17
adder_i28_o15,28,15,128,8192,1/4,1,13.9072,216,13.2272,214,13.3968,214,2
adder_i28_o15,28,15,128,16384,1/2,1,13.9072,216,13.1771,216,13.5332,216,0
adder_i28_o15,28,15,128,2048,1/16,2,13.5161,216,12.4802,178,12.7517,178,38
adder_i28_o15,28,15,128,4096,1/8,2,13.5161,216,12.9142,199,13.6411,199,17
adder_i28_o15,28,15,128,8192,1/4,2,13.5161,216,14.5634,214,13.6898,214,2
adder_i28_o15,28,15,128,16384,1/2,2,13.5161,216,12.7666,216,13.1353,216,0
adder_i28_o15,28,15,128,2048,1/16,3,14.0643,216,12.8009,178,13.5368,178,38
adder_i28_o15,28,15,128,4096,1/8,3,14.0643,216,12.8716,199,13.4491,199,17
adder_i28_o15,28,15,128,8192,1/4,3,14.0643,216,13.3252,214,13.837,214,2
adder_i28_o15,28,15,128,16384,1/2,3,14.0643,216,13.5536,216,13.6976,216,0
