benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
mul_i6_o6,6,6,128,4,1/16,1,2.8142,70,2.1998,33,2.1338,33,37
mul_i6_o6,6,6,128,8,1/8,1,2.8142,70,2.5078,56,3.121,56,14
mul_i6_o6,6,6,128,16,1/4,1,2.8142,70,2.7356,67,3.1443,67,3
mul_i6_o6,6,6,128,32,1/2,1,2.8142,70,3.266,70,3.3635,70,0
mul_i6_o6,6,6,128,4,1/16,2,2.9355,70,2.417,33,1.9285,33,37
mul_i6_o6,6,6,128,8,1/8,2,2.9355,70,3.2902,56,3.2272,56,14
mul_i6_o6,6,6,128,16,1/4,2,2.9355,70,2.8257,67,3.8269,67,3
mul_i6_o6,6,6,128,32,1/2,2,2.9355,70,2.7569,70,4.4029,70,0
mul_i6_o6,6,6,128,4,1/16,3,2.7778,70,2.0856,33,2.3711,33,37
mul_i6_o6,6,6,128,8,1/8,3,2.7778,70,2.4426,56,3.7926,56,14
mul_i6_o6,6,6,128,16,1/4,3,2.7778,70,3.2778,67,2.9648,67,3
mul_i6_o6,6,6,128,32,1/2,3,2.7778,70,3.3173,70,3.6279,70,0
