benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
abs_diff_i16_o8,16,8,128,16,1/16,1,9.9341,260,6.9592,205,7.2774,205,55
abs_diff_i16_o8,16,8,128,32,1/8,1,9.9341,260,7.6759,228,8.6524,228,32
abs_diff_i16_o8,16,8,128,64,1/4,1,9.9341,260,9.3497,251,8.7744,251,9
abs_diff_i16_o8,16,8,128,128,1/2,1,9.9341,260,9.1498,260,8.8428,260,0
abs_diff_i16_o8,16,8,128,16,1/16,2,8.8628,260,7.6106,205,7.6084,205,55
abs_diff_i16_o8,16,8,128,32,1/8,2,8.8628,260,8.0746,228,8.004,228,32
abs_diff_i16_o8,16,8,128,64,1/4,2,8.8628,260,8.9266,251,9.0061,251,9
abs_diff_i16_o8,16,8,128,128,1/2,2,8.8628,260,8.7357,260,8.9122,260,0
abs_diff_i16_o8,16,8,128,16,1/16,3,8.6846,260,7.6098,205,7.4813,205,55
abs_diff_i16_o8,16,8,128,32,1/8,3,8.6846,260,8.3538,228,8.996,228,32
abs_diff_i16_o8,16,8,128,64,1/4,3,8.6846,260,8.9031,251,9.3513,251,9
abs_diff_i16_o8,16,8,128,128,1/2,3,8.6846,260,8.0772,260,8.5916,260,0
