benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
sad_i20_o6,20,6,128,4,1/16,1,43.8175,577,40.2501,473,39.3581,473,104
sad_i20_o6,20,6,128,8,1/8,1,43.8175,577,43.0976,558,43.2653,558,19
sad_i20_o6,20,6,128,16,1/4,1,43.8175,577,45.4779,575,42.9811,575,2
sad_i20_o6,20,6,128,32,1/2,1,43.8175,577,44.0856,577,44.329,577,0
sad_i20_o6,20,6,128,4,1/16,2,43.5748,577,40.5275,473,40.2103,473,104
sad_i20_o6,20,6,128,8,1/8,2,43.5748,577,42.7299,558,42.8906,558,19
sad_i20_o6,20,6,128,16,1/4,2,43.5748,577,43.396,575,43.5602,575,2
sad_i20_o6,20,6,128,32,1/2,2,43.5748,577,44.0974,577,44.6007,577,0
sad_i20_o6,20,6,128,4,1/16,3,43.4752,577,40.9368,473,40.6859,473,104
sad_i20_o6,20,6,128,8,1/8,3,43.4752,577,42.9072,558,43.8736,558,19
sad_i20_o6,20,6,128,16,1/4,3,43.4752,577,44.1415,575,43.6574,575,2
sad_i20_o6,20,6,128,32,1/2,3,43.4752,577,45.7048,577,43.09,577,0
