benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i16_o9,16,9,128,32,1/16,1,5.6161,115,3.9312,80,3.8514,80,35
adder_i16_o9,16,9,128,64,1/8,1,5.6161,115,4.0642,95,4.0093,95,20
adder_i16_o9,16,9,128,128,1/4,1,5.6161,115,4.3652,111,4.937,111,4
adder_i16_o9,16,9,128,256,1/2,1,5.6161,115,5.0768,115,5.3928,115,0
adder_i16_o9,16,9,128,32,1/16,2,4.8041,115,3.3832,80,3.5186,80,35
adder_i16_o9,16,9,128,64,1/8,2,4.8041,115,4.1299,95,4.2654,95,20
adder_i16_o9,16,9,128,128,1/4,2,4.8041,115,4.5186,111,4.5939,111,4
adder_i16_o9,16,9,128,256,1/2,2,4.8041,115,5.5918,115,4.7679,115,0
adder_i16_o9,16,9,128,32,1/16,3,4.5029,115,3.5194,80,3.3472,80,35
adder_i16_o9,16,9,128,64,1/8,3,4.5029,115,4.3858,95,3.7417,95,20
adder_i16_o9,16,9,128,128,1/4,3,4.5029,115,4.6512,111,4.6019,111,4
adder_i16_o9,16,9,128,256,1/2,3,4.5029,115,4.6471,115,4.0594,115,0
