benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
madd_i9_o6,9,6,128,4,1/16,1,5.6144,118,3.5815,68,3.5526,68,50
madd_i9_o6,9,6,128,8,1/8,1,5.6144,118,4.0943,100,4.0873,100,18
madd_i9_o6,9,6,128,16,1/4,1,5.6144,118,4.4685,115,4.9373,115,3
madd_i9_o6,9,6,128,32,1/2,1,5.6144,118,5.0894,118,5.5192,118,0
madd_i9_o6,9,6,128,4,1/16,2,4.9866,118,3.1862,68,3.2172,68,50
madd_i9_o6,9,6,128,8,1/8,2,4.9866,118,4.554,100,4.3315,100,18
madd_i9_o6,9,6,128,16,1/4,2,4.9866,118,4.6228,115,4.6164,115,3
madd_i9_o6,9,6,128,32,1/2,2,4.9866,118,5.6669,118,4.805,118,0
madd_i9_o6,9,6,128,4,1/16,3,4.5405,118,3.312,68,3.0359,68,50
madd_i9_o6,9,6,128,8,1/8,3,4.5405,118,4.4763,100,3.9071,100,18
madd_i9_o6,9,6,128,16,1/4,3,4.5405,118,4.7277,115,4.6735,115,3
madd_i9_o6,9,6,128,32,1/2,3,4.5405,118,4.7351,118,4.0667,118,0
