benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
abs_diff_i12_o6,sequential,1.3434,1.2475,37.3074,0.0054,0.0009,39.9047,93.5,3.1
abs_diff_i12_o6,parallel,1.3453,1.2633,1.5843,0.0047,0.001,4.1987,37.7,30.1
