benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
madd_i18_o12,sequential,1.9542,18.0977,346.7232,0.017,0.0037,366.7958,94.5,4.9
madd_i18_o12,parallel,1.9206,18.392,10.2265,0.0177,0.0039,30.5607,33.5,60.2
