benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
mul_i4_o4,sequential,0.9413,0.0195,2.8901,0.001,0.0002,3.8521,75.0,0.5
mul_i4_o4,parallel,0.8938,0.0205,0.3858,0.0007,0.0002,1.3008,29.7,1.6
