benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
sad_i20_o6,sequential,2.1401,19.8958,268.9753,0.0188,0.0045,291.0345,92.4,6.8
sad_i20_o6,parallel,2.1228,19.041,22.395,0.0176,0.0042,43.5806,51.4,43.7
