benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
abs_diff_i36_o18,36,18,128,5,1,16384,1/16,1,112.8966,596,101.8678,596,98.1858,532
abs_diff_i36_o18,36,18,128,5,1,32768,1/8,1,112.8966,596,101.8678,596,99.1975,553
abs_diff_i36_o18,36,18,128,5,1,65536,1/4,1,112.8966,596,101.8678,596,103.2946,580
abs_diff_i36_o18,36,18,128,5,1,131072,1/2,1,112.8966,596,101.8678,596,101.1275,596
abs_diff_i36_o18,36,18,128,5,2,16384,1/16,1,112.8966,596,97.4641,242,93.2209,242
abs_diff_i36_o18,36,18,128,5,2,32768,1/8,1,112.8966,596,97.4641,242,90.83,242
abs_diff_i36_o18,36,18,128,5,2,65536,1/4,1,112.8966,596,97.4641,242,93.4399,242
abs_diff_i36_o18,36,18,128,5,2,131072,1/2,1,112.8966,596,97.4641,242,87.6304,242
abs_diff_i36_o18,36,18,128,5,3,16384,1/16,1,112.8966,596,91.6409,280,90.6229,280
abs_diff_i36_o18,36,18,128,5,3,32768,1/8,1,112.8966,596,91.6409,280,97.0871,280
abs_diff_i36_o18,36,18,128,5,3,65536,1/4,1,112.8966,596,91.6409,280,98.5804,280
abs_diff_i36_o18,36,18,128,5,3,131072,1/2,1,112.8966,596,91.6409,280,89.328,280
abs_diff_i36_o18,36,18,128,5,1,16384,1/16,2,109.418,596,103.023,595,103.6023,531
abs_diff_i36_o18,36,18,128,5,1,32768,1/8,2,109.418,596,103.023,595,109.6327,552
abs_diff_i36_o18,36,18,128,5,1,65536,1/4,2,109.418,596,103.023,595,99.6834,579
abs_diff_i36_o18,36,18,128,5,1,131072,1/2,2,109.418,596,103.023,595,102.9369,595
abs_diff_i36_o18,36,18,128,5,2,16384,1/16,2,109.418,596,104.4326,595,101.6764,531
abs_diff_i36_o18,36,18,128,5,2,32768,1/8,2,109.418,596,104.4326,595,104.0076,552
abs_diff_i36_o18,36,18,128,5,2,65536,1/4,2,109.418,596,104.4326,595,112.0584,579
abs_diff_i36_o18,36,18,128,5,2,131072,1/2,2,109.418,596,104.4326,595,106.9392,595
abs_diff_i36_o18,36,18,128,5,3,16384,1/16,2,109.418,596,101.7196,595,97.2798,531
abs_diff_i36_o18,36,18,128,5,3,32768,1/8,2,109.418,596,101.7196,595,99.4465,552
abs_diff_i36_o18,36,18,128,5,3,65536,1/4,2,109.418,596,101.7196,595,102.9515,579
abs_diff_i36_o18,36,18,128,5,3,131072,1/2,2,109.418,596,101.7196,595,100.5696,595
abs_diff_i36_o18,36,18,128,5,1,16384,1/16,3,101.2107,596,99.7003,596,100.1766,532
abs_diff_i36_o18,36,18,128,5,1,32768,1/8,3,101.2107,596,99.7003,596,108.8375,553
abs_diff_i36_o18,36,18,128,5,1,65536,1/4,3,101.2107,596,99.7003,596,98.8426,580
abs_diff_i36_o18,36,18,128,5,1,131072,1/2,3,101.2107,596,99.7003,596,106.6466,596
abs_diff_i36_o18,36,18,128,5,2,16384,1/16,3,101.2107,596,103.4278,595,97.8813,531
abs_diff_i36_o18,36,18,128,5,2,32768,1/8,3,101.2107,596,103.4278,595,97.7666,552
abs_diff_i36_o18,36,18,128,5,2,65536,1/4,3,101.2107,596,103.4278,595,106.8425,579
abs_diff_i36_o18,36,18,128,5,2,131072,1/2,3,101.2107,596,103.4278,595,103.6125,595
abs_diff_i36_o18,36,18,128,5,3,16384,1/16,3,101.2107,596,100.0982,595,102.3824,531
abs_diff_i36_o18,36,18,128,5,3,32768,1/8,3,101.2107,596,100.0982,595,104.9987,552
abs_diff_i36_o18,36,18,128,5,3,65536,1/4,3,101.2107,596,100.0982,595,102.4699,579
abs_diff_i36_o18,36,18,128,5,3,131072,1/2,3,101.2107,596,100.0982,595,102.4723,595
