benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
abs_diff_i6_o3,6,3,128,5,1,1,1/16,1,3.3992,57,1.9753,45,1.5511,6
abs_diff_i6_o3,6,3,128,5,1,2,1/4,1,3.3992,57,1.9753,45,1.6016,45
abs_diff_i6_o3,6,3,128,5,1,4,1/2,1,3.3992,57,1.9753,45,1.7696,45
abs_diff_i6_o3,6,3,128,5,2,1,1/16,1,3.3992,57,1.7749,47,1.3888,8
abs_diff_i6_o3,6,3,128,5,2,2,1/4,1,3.3992,57,1.7749,47,1.7562,47
abs_diff_i6_o3,6,3,128,5,2,4,1/2,1,3.3992,57,1.7749,47,2.2254,47
abs_diff_i6_o3,6,3,128,5,3,1,1/16,1,3.3992,57,1.9159,47,1.1419,8
abs_diff_i6_o3,6,3,128,5,3,2,1/4,1,3.3992,57,1.9159,47,1.6575,47
abs_diff_i6_o3,6,3,128,5,3,4,1/2,1,3.3992,57,1.9159,47,1.7465,47
abs_diff_i6_o3,6,3,128,5,1,1,1/16,2,2.7724,57,1.9295,57,1.5447,8
abs_diff_i6_o3,6,3,128,5,1,2,1/4,2,2.7724,57,1.9295,57,1.6869,47
abs_diff_i6_o3,6,3,128,5,1,4,1/2,2,2.7724,57,1.9295,57,2.0718,57
abs_diff_i6_o3,6,3,128,5,2,1,1/16,2,2.7724,57,1.9589,45,0.9445,6
abs_diff_i6_o3,6,3,128,5,2,2,1/4,2,2.7724,57,1.9589,45,2.211,45
abs_diff_i6_o3,6,3,128,5,2,4,1/2,2,2.7724,57,1.9589,45,2.2012,45
abs_diff_i6_o3,6,3,128,5,3,1,1/16,2,2.7724,57,2.0449,55,1.3859,6
abs_diff_i6_o3,6,3,128,5,3,2,1/4,2,2.7724,57,2.0449,55,1.8288,45
abs_diff_i6_o3,6,3,128,5,3,4,1/2,2,2.7724,57,2.0449,55,2.1776,55
abs_diff_i6_o3,6,3,128,5,1,1,1/16,3,2.8639,57,1.3069,31,0.958,4
abs_diff_i6_o3,6,3,128,5,1,2,1/4,3,2.8639,57,1.3069,31,1.3241,21
abs_diff_i6_o3,6,3,128,5,1,4,1/2,3,2.8639,57,1.3069,31,1.3321,31
abs_diff_i6_o3,6,3,128,5,2,1,1/16,3,2.8639,57,1.9636,57,0.8714,8
abs_diff_i6_o3,6,3,128,5,2,2,1/4,3,2.8639,57,1.9636,57,1.7333,47
abs_diff_i6_o3,6,3,128,5,2,4,1/2,3,2.8639,57,1.9636,57,1.7912,57
abs_diff_i6_o3,6,3,128,5,3,1,1/16,3,2.8639,57,1.366,31,0.8968,4
abs_diff_i6_o3,6,3,128,5,3,2,1/4,3,2.8639,57,1.366,31,1.1198,21
abs_diff_i6_o3,6,3,128,5,3,4,1/2,3,2.8639,57,1.366,31,1.3148,31
