benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
abs_diff_i40_o20,40,20,128,5,1,65536,1/16,1,510.5222,682,513.0406,681,503.1563,623
abs_diff_i40_o20,40,20,128,5,1,131072,1/8,1,510.5222,682,513.0406,681,512.7958,644
abs_diff_i40_o20,40,20,128,5,1,262144,1/4,1,510.5222,682,513.0406,681,514.558,665
abs_diff_i40_o20,40,20,128,5,1,524288,1/2,1,510.5222,682,513.0406,681,504.6306,681
abs_diff_i40_o20,40,20,128,5,2,65536,1/16,1,510.5222,682,472.8269,245,483.6924,245
abs_diff_i40_o20,40,20,128,5,2,131072,1/8,1,510.5222,682,472.8269,245,508.1303,245
abs_diff_i40_o20,40,20,128,5,2,262144,1/4,1,510.5222,682,472.8269,245,481.348,245
abs_diff_i40_o20,40,20,128,5,2,524288,1/2,1,510.5222,682,472.8269,245,456.8701,245
abs_diff_i40_o20,40,20,128,5,3,65536,1/16,1,510.5222,682,518.132,681,497.4505,623
abs_diff_i40_o20,40,20,128,5,3,131072,1/8,1,510.5222,682,518.132,681,510.2302,644
abs_diff_i40_o20,40,20,128,5,3,262144,1/4,1,510.5222,682,518.132,681,514.2773,665
abs_diff_i40_o20,40,20,128,5,3,524288,1/2,1,510.5222,682,518.132,681,487.2497,681
abs_diff_i40_o20,40,20,128,5,1,65536,1/16,2,556.731,682,503.1762,681,499.2575,623
abs_diff_i40_o20,40,20,128,5,1,131072,1/8,2,556.731,682,503.1762,681,497.8595,644
abs_diff_i40_o20,40,20,128,5,1,262144,1/4,2,556.731,682,503.1762,681,503.1833,665
abs_diff_i40_o20,40,20,128,5,1,524288,1/2,2,556.731,682,503.1762,681,529.6498,681
abs_diff_i40_o20,40,20,128,5,2,65536,1/16,2,556.731,682,497.9075,681,587.3089,623
abs_diff_i40_o20,40,20,128,5,2,131072,1/8,2,556.731,682,497.9075,681,464.1311,644
abs_diff_i40_o20,40,20,128,5,2,262144,1/4,2,556.731,682,497.9075,681,485.158,665
abs_diff_i40_o20,40,20,128,5,2,524288,1/2,2,556.731,682,497.9075,681,464.3141,681
abs_diff_i40_o20,40,20,128,5,3,65536,1/16,2,556.731,682,501.6774,681,506.3874,623
abs_diff_i40_o20,40,20,128,5,3,131072,1/8,2,556.731,682,501.6774,681,529.4486,644
abs_diff_i40_o20,40,20,128,5,3,262144,1/4,2,556.731,682,501.6774,681,504.9259,665
abs_diff_i40_o20,40,20,128,5,3,524288,1/2,2,556.731,682,501.6774,681,473.3088,681
abs_diff_i40_o20,40,20,128,5,1,65536,1/16,3,507.3753,682,481.4809,362,521.2518,362
abs_diff_i40_o20,40,20,128,5,1,131072,1/8,3,507.3753,682,481.4809,362,501.4431,362
abs_diff_i40_o20,40,20,128,5,1,262144,1/4,3,507.3753,682,481.4809,362,468.7701,362
abs_diff_i40_o20,40,20,128,5,1,524288,1/2,3,507.3753,682,481.4809,362,496.9736,362
abs_diff_i40_o20,40,20,128,5,2,65536,1/16,3,507.3753,682,496.2886,681,510.5385,623
abs_diff_i40_o20,40,20,128,5,2,131072,1/8,3,507.3753,682,496.2886,681,514.8726,644
abs_diff_i40_o20,40,20,128,5,2,262144,1/4,3,507.3753,682,496.2886,681,501.7741,665
abs_diff_i40_o20,40,20,128,5,2,524288,1/2,3,507.3753,682,496.2886,681,501.4981,681
abs_diff_i40_o20,40,20,128,5,3,65536,1/16,3,507.3753,682,523.6255,309,450.035,288
abs_diff_i40_o20,40,20,128,5,3,131072,1/8,3,507.3753,682,523.6255,309,503.2474,309
abs_diff_i40_o20,40,20,128,5,3,262144,1/4,3,507.3753,682,523.6255,309,500.6387,309
abs_diff_i40_o20,40,20,128,5,3,524288,1/2,3,507.3753,682,523.6255,309,501.6652,309
