benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
madd_i12_o8,12,8,128,5,1,16,1/16,1,11.8288,233,6.7903,228,5.5216,171
madd_i12_o8,12,8,128,5,1,32,1/8,1,11.8288,233,6.7903,228,6.1821,208
madd_i12_o8,12,8,128,5,1,64,1/4,1,11.8288,233,6.7903,228,6.665,225
madd_i12_o8,12,8,128,5,1,128,1/2,1,11.8288,233,6.7903,228,6.5487,228
madd_i12_o8,12,8,128,5,2,16,1/16,1,11.8288,233,6.2513,210,7.2813,153
madd_i12_o8,12,8,128,5,2,32,1/8,1,11.8288,233,6.2513,210,6.265,190
madd_i12_o8,12,8,128,5,2,64,1/4,1,11.8288,233,6.2513,210,6.8479,207
madd_i12_o8,12,8,128,5,2,128,1/2,1,11.8288,233,6.2513,210,7.1801,210
madd_i12_o8,12,8,128,5,3,16,1/16,1,11.8288,233,7.1121,219,6.0309,162
madd_i12_o8,12,8,128,5,3,32,1/8,1,11.8288,233,7.1121,219,9.5191,199
madd_i12_o8,12,8,128,5,3,64,1/4,1,11.8288,233,7.1121,219,7.1533,216
madd_i12_o8,12,8,128,5,3,128,1/2,1,11.8288,233,7.1121,219,6.8131,219
madd_i12_o8,12,8,128,5,1,16,1/16,2,7.2715,233,6.4789,214,4.9622,157
madd_i12_o8,12,8,128,5,1,32,1/8,2,7.2715,233,6.4789,214,10.0303,194
madd_i12_o8,12,8,128,5,1,64,1/4,2,7.2715,233,6.4789,214,6.3876,211
madd_i12_o8,12,8,128,5,1,128,1/2,2,7.2715,233,6.4789,214,6.4377,214
madd_i12_o8,12,8,128,5,2,16,1/16,2,7.2715,233,6.3588,219,4.9715,162
madd_i12_o8,12,8,128,5,2,32,1/8,2,7.2715,233,6.3588,219,5.8352,199
madd_i12_o8,12,8,128,5,2,64,1/4,2,7.2715,233,6.3588,219,6.6031,216
madd_i12_o8,12,8,128,5,2,128,1/2,2,7.2715,233,6.3588,219,10.6216,219
madd_i12_o8,12,8,128,5,3,16,1/16,2,7.2715,233,6.4573,214,5.088,157
madd_i12_o8,12,8,128,5,3,32,1/8,2,7.2715,233,6.4573,214,5.8058,194
madd_i12_o8,12,8,128,5,3,64,1/4,2,7.2715,233,6.4573,214,6.0691,211
madd_i12_o8,12,8,128,5,3,128,1/2,2,7.2715,233,6.4573,214,6.1856,214
madd_i12_o8,12,8,128,5,1,16,1/16,3,9.9787,233,6.6444,210,5.0791,153
madd_i12_o8,12,8,128,5,1,32,1/8,3,9.9787,233,6.6444,210,5.7056,190
madd_i12_o8,12,8,128,5,1,64,1/4,3,9.9787,233,6.6444,210,5.9103,207
madd_i12_o8,12,8,128,5,1,128,1/2,3,9.9787,233,6.6444,210,5.9116,210
madd_i12_o8,12,8,128,5,2,16,1/16,3,9.9787,233,6.2043,206,7.48,153
madd_i12_o8,12,8,128,5,2,32,1/8,3,9.9787,233,6.2043,206,6.0306,186
madd_i12_o8,12,8,128,5,2,64,1/4,3,9.9787,233,6.2043,206,5.9329,203
madd_i12_o8,12,8,128,5,2,128,1/2,3,9.9787,233,6.2043,206,6.4012,206
madd_i12_o8,12,8,128,5,3,16,1/16,3,9.9787,233,6.0215,206,4.8816,153
madd_i12_o8,12,8,128,5,3,32,1/8,3,9.9787,233,6.0215,206,5.5976,186
madd_i12_o8,12,8,128,5,3,64,1/4,3,9.9787,233,6.0215,206,9.6376,203
madd_i12_o8,12,8,128,5,3,128,1/2,3,9.9787,233,6.0215,206,6.4231,206
