benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
mul_i8_o8,8,8,128,5,1,16,1/16,1,8.0171,174,6.8094,158,4.3195,102
mul_i8_o8,8,8,128,5,1,32,1/8,1,8.0171,174,6.8094,158,5.1821,134
mul_i8_o8,8,8,128,5,1,64,1/4,1,8.0171,174,6.8094,158,6.5224,155
mul_i8_o8,8,8,128,5,1,128,1/2,1,8.0171,174,6.8094,158,6.6667,158
mul_i8_o8,8,8,128,5,2,16,1/16,1,8.0171,174,6.7005,168,5.0015,112
mul_i8_o8,8,8,128,5,2,32,1/8,1,8.0171,174,6.7005,168,6.6158,144
mul_i8_o8,8,8,128,5,2,64,1/4,1,8.0171,174,6.7005,168,6.7223,165
mul_i8_o8,8,8,128,5,2,128,1/2,1,8.0171,174,6.7005,168,6.3387,168
mul_i8_o8,8,8,128,5,3,16,1/16,1,8.0171,174,6.4706,154,3.9657,98
mul_i8_o8,8,8,128,5,3,32,1/8,1,8.0171,174,6.4706,154,5.5896,130
mul_i8_o8,8,8,128,5,3,64,1/4,1,8.0171,174,6.4706,154,6.1495,151
mul_i8_o8,8,8,128,5,3,128,1/2,1,8.0171,174,6.4706,154,6.8699,154
mul_i8_o8,8,8,128,5,1,16,1/16,2,7.9669,174,7.1212,163,5.2384,107
mul_i8_o8,8,8,128,5,1,32,1/8,2,7.9669,174,7.1212,163,5.546,139
mul_i8_o8,8,8,128,5,1,64,1/4,2,7.9669,174,7.1212,163,6.3214,160
mul_i8_o8,8,8,128,5,1,128,1/2,2,7.9669,174,7.1212,163,5.7751,163
mul_i8_o8,8,8,128,5,2,16,1/16,2,7.9669,174,6.6428,163,4.342,107
mul_i8_o8,8,8,128,5,2,32,1/8,2,7.9669,174,6.6428,163,5.6547,139
mul_i8_o8,8,8,128,5,2,64,1/4,2,7.9669,174,6.6428,163,5.6615,160
mul_i8_o8,8,8,128,5,2,128,1/2,2,7.9669,174,6.6428,163,6.4832,163
mul_i8_o8,8,8,128,5,3,16,1/16,2,7.9669,174,6.3895,154,4.0809,98
mul_i8_o8,8,8,128,5,3,32,1/8,2,7.9669,174,6.3895,154,5.5976,130
mul_i8_o8,8,8,128,5,3,64,1/4,2,7.9669,174,6.3895,154,6.0507,151
mul_i8_o8,8,8,128,5,3,128,1/2,2,7.9669,174,6.3895,154,6.0212,154
mul_i8_o8,8,8,128,5,1,16,1/16,3,6.4768,174,5.3758,146,4.1672,98
mul_i8_o8,8,8,128,5,1,32,1/8,3,6.4768,174,5.3758,146,4.957,122
mul_i8_o8,8,8,128,5,1,64,1/4,3,6.4768,174,5.3758,146,5.0834,143
mul_i8_o8,8,8,128,5,1,128,1/2,3,6.4768,174,5.3758,146,5.1538,146
mul_i8_o8,8,8,128,5,2,16,1/16,3,6.4768,174,6.4917,168,4.3437,112
mul_i8_o8,8,8,128,5,2,32,1/8,3,6.4768,174,6.4917,168,5.3139,144
mul_i8_o8,8,8,128,5,2,64,1/4,3,6.4768,174,6.4917,168,5.7251,165
mul_i8_o8,8,8,128,5,2,128,1/2,3,6.4768,174,6.4917,168,5.6769,168
mul_i8_o8,8,8,128,5,3,16,1/16,3,6.4768,174,5.5348,158,3.8514,102
mul_i8_o8,8,8,128,5,3,32,1/8,3,6.4768,174,5.5348,158,4.6919,134
mul_i8_o8,8,8,128,5,3,64,1/4,3,6.4768,174,5.5348,158,5.3112,155
mul_i8_o8,8,8,128,5,3,128,1/2,3,6.4768,174,5.5348,158,5.514,158
