benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
mul_i10_o10,10,10,128,5,1,64,1/16,1,12.3507,299,11.5638,275,13.7624,217
mul_i10_o10,10,10,128,5,1,128,1/8,1,12.3507,299,11.5638,275,8.9718,255
mul_i10_o10,10,10,128,5,1,256,1/4,1,12.3507,299,11.5638,275,8.6088,272
mul_i10_o10,10,10,128,5,1,512,1/2,1,12.3507,299,11.5638,275,16.7273,275
mul_i10_o10,10,10,128,5,2,64,1/16,1,12.3507,299,9.1374,279,7.9407,221
mul_i10_o10,10,10,128,5,2,128,1/8,1,12.3507,299,9.1374,279,13.873,259
mul_i10_o10,10,10,128,5,2,256,1/4,1,12.3507,299,9.1374,279,8.9308,276
mul_i10_o10,10,10,128,5,2,512,1/2,1,12.3507,299,9.1374,279,11.8982,279
mul_i10_o10,10,10,128,5,3,64,1/16,1,12.3507,299,12.4536,275,7.2723,217
mul_i10_o10,10,10,128,5,3,128,1/8,1,12.3507,299,12.4536,275,8.9656,255
mul_i10_o10,10,10,128,5,3,256,1/4,1,12.3507,299,12.4536,275,16.0827,272
mul_i10_o10,10,10,128,5,3,512,1/2,1,12.3507,299,12.4536,275,9.7771,275
mul_i10_o10,10,10,128,5,1,64,1/16,2,12.5825,299,13.024,279,7.4757,221
mul_i10_o10,10,10,128,5,1,128,1/8,2,12.5825,299,13.024,279,8.8515,259
mul_i10_o10,10,10,128,5,1,256,1/4,2,12.5825,299,13.024,279,16.84,276
mul_i10_o10,10,10,128,5,1,512,1/2,2,12.5825,299,13.024,279,10.467,279
mul_i10_o10,10,10,128,5,2,64,1/16,2,12.5825,299,12.1247,275,10.8354,217
mul_i10_o10,10,10,128,5,2,128,1/8,2,12.5825,299,12.1247,275,8.5863,255
mul_i10_o10,10,10,128,5,2,256,1/4,2,12.5825,299,12.1247,275,9.3952,272
mul_i10_o10,10,10,128,5,2,512,1/2,2,12.5825,299,12.1247,275,14.9957,275
mul_i10_o10,10,10,128,5,3,64,1/16,2,12.5825,299,9.9018,283,7.4958,225
mul_i10_o10,10,10,128,5,3,128,1/8,2,12.5825,299,9.9018,283,15.672,263
mul_i10_o10,10,10,128,5,3,256,1/4,2,12.5825,299,9.9018,283,10.793,280
mul_i10_o10,10,10,128,5,3,512,1/2,2,12.5825,299,9.9018,283,9.2044,283
mul_i10_o10,10,10,128,5,1,64,1/16,3,17.2642,299,9.6495,283,7.0627,225
mul_i10_o10,10,10,128,5,1,128,1/8,3,17.2642,299,9.6495,283,15.5291,263
mul_i10_o10,10,10,128,5,1,256,1/4,3,17.2642,299,9.6495,283,10.3913,280
mul_i10_o10,10,10,128,5,1,512,1/2,3,17.2642,299,9.6495,283,14.8036,283
mul_i10_o10,10,10,128,5,2,64,1/16,3,17.2642,299,9.1995,275,7.4422,217
mul_i10_o10,10,10,128,5,2,128,1/8,3,17.2642,299,9.1995,275,12.6591,255
mul_i10_o10,10,10,128,5,2,256,1/4,3,17.2642,299,9.1995,275,9.2953,272
mul_i10_o10,10,10,128,5,2,512,1/2,3,17.2642,299,9.1995,275,9.1929,275
mul_i10_o10,10,10,128,5,3,64,1/16,3,17.2642,299,13.6057,275,8.3556,217
mul_i10_o10,10,10,128,5,3,128,1/8,3,17.2642,299,13.6057,275,8.2135,255
mul_i10_o10,10,10,128,5,3,256,1/4,3,17.2642,299,13.6057,275,9.2442,272
mul_i10_o10,10,10,128,5,3,512,1/2,3,17.2642,299,13.6057,275,14.7338,275
