benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
adder_i44_o23,44,23,128,5,1,524288,1/16,1,3976.2572,357,3167.3091,331,3712.6896,293
adder_i44_o23,44,23,128,5,1,1048576,1/8,1,3976.2572,357,3167.3091,331,3972.1798,314
adder_i44_o23,44,23,128,5,1,2097152,1/4,1,3976.2572,357,3167.3091,331,3163.8885,329
adder_i44_o23,44,23,128,5,1,4194304,1/2,1,3976.2572,357,3167.3091,331,3754.5183,331
adder_i44_o23,44,23,128,5,2,524288,1/16,1,3976.2572,357,3894.2697,222,3952.1765,201
adder_i44_o23,44,23,128,5,2,1048576,1/8,1,3976.2572,357,3894.2697,222,3245.6685,222
adder_i44_o23,44,23,128,5,2,2097152,1/4,1,3976.2572,357,3894.2697,222,3631.3607,222
adder_i44_o23,44,23,128,5,2,4194304,1/2,1,3976.2572,357,3894.2697,222,3867.1289,222
adder_i44_o23,44,23,128,5,3,524288,1/16,1,3976.2572,357,3774.6492,251,3630.8199,213
adder_i44_o23,44,23,128,5,3,1048576,1/8,1,3976.2572,357,3774.6492,251,3557.3766,234
adder_i44_o23,44,23,128,5,3,2097152,1/4,1,3976.2572,357,3774.6492,251,3546.8742,249
adder_i44_o23,44,23,128,5,3,4194304,1/2,1,3976.2572,357,3774.6492,251,3505.3675,251
adder_i44_o23,44,23,128,5,1,524288,1/16,2,4040.9723,357,4014.0986,319,4020.9682,281
adder_i44_o23,44,23,128,5,1,1048576,1/8,2,4040.9723,357,4014.0986,319,4073.8146,302
adder_i44_o23,44,23,128,5,1,2097152,1/4,2,4040.9723,357,4014.0986,319,3980.2931,317
adder_i44_o23,44,23,128,5,1,4194304,1/2,2,4040.9723,357,4014.0986,319,4045.1724,319
adder_i44_o23,44,23,128,5,2,524288,1/16,2,4040.9723,357,3981.0278,231,4017.0278,201
adder_i44_o23,44,23,128,5,2,1048576,1/8,2,4040.9723,357,3981.0278,231,4037.6156,214
adder_i44_o23,44,23,128,5,2,2097152,1/4,2,4040.9723,357,3981.0278,231,3475.8162,229
adder_i44_o23,44,23,128,5,2,4194304,1/2,2,4040.9723,357,3981.0278,231,3246.1899,231
adder_i44_o23,44,23,128,5,3,524288,1/16,2,4040.9723,357,4027.5864,331,3330.9599,293
adder_i44_o23,44,23,128,5,3,1048576,1/8,2,4040.9723,357,4027.5864,331,4005.7324,314
adder_i44_o23,44,23,128,5,3,2097152,1/4,2,4040.9723,357,4027.5864,331,4043.4947,329
adder_i44_o23,44,23,128,5,3,4194304,1/2,2,4040.9723,357,4027.5864,331,3587.7939,331
adder_i44_o23,44,23,128,5,1,524288,1/16,3,3996.5397,357,4053.6139,319,4001.1414,281
adder_i44_o23,44,23,128,5,1,1048576,1/8,3,3996.5397,357,4053.6139,319,3249.2192,302
adder_i44_o23,44,23,128,5,1,2097152,1/4,3,3996.5397,357,4053.6139,319,4023.2959,317
adder_i44_o23,44,23,128,5,1,4194304,1/2,3,3996.5397,357,4053.6139,319,3932.9925,319
adder_i44_o23,44,23,128,5,2,524288,1/16,3,3996.5397,357,4053.3205,343,4003.0352,305
adder_i44_o23,44,23,128,5,2,1048576,1/8,3,3996.5397,357,4053.3205,343,3297.7128,326
adder_i44_o23,44,23,128,5,2,2097152,1/4,3,3996.5397,357,4053.3205,343,4054.1968,341
adder_i44_o23,44,23,128,5,2,4194304,1/2,3,3996.5397,357,4053.3205,343,3986.9625,343
adder_i44_o23,44,23,128,5,3,524288,1/16,3,3996.5397,357,3207.4356,231,4028.4902,201
adder_i44_o23,44,23,128,5,3,1048576,1/8,3,3996.5397,357,3207.4356,231,3674.8552,214
adder_i44_o23,44,23,128,5,3,2097152,1/4,3,3996.5397,357,3207.4356,231,3994.3353,229
adder_i44_o23,44,23,128,5,3,4194304,1/2,3,3996.5397,357,3207.4356,231,3993.8303,231
