benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
adder_i36_o19,36,19,128,5,1,32768,1/16,1,186.5004,283,183.1628,283,183.473,245
adder_i36_o19,36,19,128,5,1,65536,1/8,1,186.5004,283,183.1628,283,182.8316,266
adder_i36_o19,36,19,128,5,1,131072,1/4,1,186.5004,283,183.1628,283,184.8837,281
adder_i36_o19,36,19,128,5,1,262144,1/2,1,186.5004,283,183.1628,283,184.4332,283
adder_i36_o19,36,19,128,5,2,32768,1/16,1,186.5004,283,184.1088,273,183.0697,235
adder_i36_o19,36,19,128,5,2,65536,1/8,1,186.5004,283,184.1088,273,183.3226,256
adder_i36_o19,36,19,128,5,2,131072,1/4,1,186.5004,283,184.1088,273,185.2097,271
adder_i36_o19,36,19,128,5,2,262144,1/2,1,186.5004,283,184.1088,273,183.5092,273
adder_i36_o19,36,19,128,5,3,32768,1/16,1,186.5004,283,182.7711,249,167.7278,211
adder_i36_o19,36,19,128,5,3,65536,1/8,1,186.5004,283,182.7711,249,181.917,232
adder_i36_o19,36,19,128,5,3,131072,1/4,1,186.5004,283,182.7711,249,182.7817,247
adder_i36_o19,36,19,128,5,3,262144,1/2,1,186.5004,283,182.7711,249,182.8489,249
adder_i36_o19,36,19,128,5,1,32768,1/16,2,183.5554,283,182.5866,189,182.9071,159
adder_i36_o19,36,19,128,5,1,65536,1/8,2,183.5554,283,182.5866,189,181.1851,172
adder_i36_o19,36,19,128,5,1,131072,1/4,2,183.5554,283,182.5866,189,182.9076,187
adder_i36_o19,36,19,128,5,1,262144,1/2,2,183.5554,283,182.5866,189,181.6474,189
adder_i36_o19,36,19,128,5,2,32768,1/16,2,183.5554,283,182.4645,189,182.4774,159
adder_i36_o19,36,19,128,5,2,65536,1/8,2,183.5554,283,182.4645,189,181.8241,172
adder_i36_o19,36,19,128,5,2,131072,1/4,2,183.5554,283,182.4645,189,182.6155,187
adder_i36_o19,36,19,128,5,2,262144,1/2,2,183.5554,283,182.4645,189,183.0849,189
adder_i36_o19,36,19,128,5,3,32768,1/16,2,183.5554,283,183.8475,273,167.8649,235
adder_i36_o19,36,19,128,5,3,65536,1/8,2,183.5554,283,183.8475,273,183.1508,256
adder_i36_o19,36,19,128,5,3,131072,1/4,2,183.5554,283,183.8475,273,184.6534,271
adder_i36_o19,36,19,128,5,3,262144,1/2,2,183.5554,283,183.8475,273,183.7364,273
adder_i36_o19,36,19,128,5,1,32768,1/16,3,183.9209,283,183.5036,229,182.4916,191
adder_i36_o19,36,19,128,5,1,65536,1/8,3,183.9209,283,183.5036,229,182.8918,212
adder_i36_o19,36,19,128,5,1,131072,1/4,3,183.9209,283,183.5036,229,203.9268,227
adder_i36_o19,36,19,128,5,1,262144,1/2,3,183.9209,283,183.5036,229,187.3314,229
adder_i36_o19,36,19,128,5,2,32768,1/16,3,183.9209,283,185.8276,253,181.6754,215
adder_i36_o19,36,19,128,5,2,65536,1/8,3,183.9209,283,185.8276,253,184.2461,236
adder_i36_o19,36,19,128,5,2,131072,1/4,3,183.9209,283,185.8276,253,182.9893,251
adder_i36_o19,36,19,128,5,2,262144,1/2,3,183.9209,283,185.8276,253,182.751,253
adder_i36_o19,36,19,128,5,3,32768,1/16,3,183.9209,283,181.4562,205,182.6462,167
adder_i36_o19,36,19,128,5,3,65536,1/8,3,183.9209,283,181.4562,205,184.0716,188
adder_i36_o19,36,19,128,5,3,131072,1/4,3,183.9209,283,181.4562,205,185.057,203
adder_i36_o19,36,19,128,5,3,262144,1/2,3,183.9209,283,181.4562,205,183.4473,205
