benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
abs_diff_i16_o8,sequential,1.51,4.0388,73.9551,0.0086,0.0018,79.5142,93.0,5.1
abs_diff_i16_o8,parallel,1.5111,4.0901,2.7417,0.0083,0.002,8.3531,32.8,49.0
