benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,parallel_s,speedup
sad_i20_o6,20,6,128,4,1,290.3847,45.2946,6.411
sad_i20_o6,20,6,128,4,2,294.2277,43.4577,6.7704
sad_i20_o6,20,6,128,4,3,294.5661,42.7635,6.8883
