benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,parallel_s,speedup
abs_diff_i32_o16,32,16,128,4,1,604.7629,34.0531,17.7594
abs_diff_i32_o16,32,16,128,4,2,610.3578,34.8724,17.5026
abs_diff_i32_o16,32,16,128,4,3,607.3171,34.99,17.3569
