benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,original_parallel_s,improved_parallel_s,speedup_original,speedup_improved
abs_diff_i8_o4,8,4,128,4,1,25.8168,4.0078,3.9212,6.4416,6.5839
abs_diff_i8_o4,8,4,128,4,2,26.3591,3.9602,3.809,6.6559,6.9201
abs_diff_i8_o4,8,4,128,4,3,25.8398,3.8979,3.9489,6.6291,6.5436
