benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,original_parallel_s,improved_parallel_s,speedup_original,speedup_improved
adder_i24_o13,24,13,128,4,1,69.4986,6.2757,5.8291,11.0742,11.9226
adder_i24_o13,24,13,128,4,2,69.7155,6.2425,6.0784,11.1679,11.4694
adder_i24_o13,24,13,128,4,3,69.7594,6.3524,5.751,10.9816,12.1301
