benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,parallel_s,speedup
adder_i4_o3,4,3,128,4,1,6.1672,1.4043,4.3916
adder_i4_o3,4,3,128,4,2,6.0195,1.6538,3.6399
adder_i4_o3,4,3,128,4,3,6.0581,1.3764,4.4015
