benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,original_parallel_s,improved_parallel_s,speedup_original,speedup_improved
adder_i32_o17,32,17,128,4,1,329.1158,43.7917,43.0056,7.5155,7.6529
adder_i32_o17,32,17,128,4,2,330.1083,44.1327,42.8971,7.4799,7.6954
adder_i32_o17,32,17,128,4,3,329.8284,43.6608,43.3186,7.5543,7.614
