benchmark,num_inputs,num_outputs,num_cpu_cores,partial_cutoff,repeat,sequential_s,parallel_s,speedup
mul_i6_o6,6,6,128,4,1,19.8423,2.8831,6.8822
mul_i6_o6,6,6,128,4,2,19.4453,2.9297,6.6373
mul_i6_o6,6,6,128,4,3,19.0227,2.9359,6.4792
