benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
sad_i10_o4,sequential,1.5547,1.2647,37.5104,0.0054,0.0009,40.3361,93.0,3.1
sad_i10_o4,parallel,1.4746,1.4627,2.8983,0.0048,0.0011,5.8415,49.6,25.0
